,Player,Player City,Country,State,Team City,PER,Player US Full City
204,Taj Gibson,Brooklyn,US,NY,New York,12.0,"Brooklyn, NY"
205,Chuma Okeke,Atlanta,US,GA,Orlando,12.0,"Atlanta, GA"
206,Jalen Suggs,St. Paul,US,MN,Orlando,8.6,"St. Paul, MN"
207,Mo Bamba,Harlem,US,NY,Orlando,16.5,"Harlem, NY"
208,R.J. Hampton,Dallas,US,TX,Orlando,8.5,"Dallas, TX"
209,Gary Harris,Fishers,US,IN,Orlando,10.9,"Fishers, IN"
210,Markelle Fultz,Upper Marlboro,US,MD,Orlando,17.7,"Upper Marlboro, MD"
211,Devin Cannady,Mishawaka,US,IN,Orlando,8.6,"Mishawaka, IN"
212,Terrence Ross,Portland,US,OR,Orlando,10.0,"Portland, OR"
213,Robin Lopez,North Hollywood,US,CA,Orlando,13.7,"North Hollywood, CA"
214,Wendell Carter Jr.,Atlanta,US,GA,Orlando,18.4,"Atlanta, GA"
215,Cole Anthony,Portland,US,OR,Orlando,13.5,"Portland, OR"
216,Gabe York,West Covina,US,CA,Indiana,12.7,"West Covina, CA"
217,Tyrese Haliburton,Oshkosh,US,WI,Indiana,18.2,"Oshkosh, WI"
218,Lance Stephenson,Brooklyn,US,NY,Indiana,13.6,"Brooklyn, NY"
219,Malcolm Brogdon,Atlanta,US,GA,Indiana,18.0,"Atlanta, GA"
220,T.J. McConnell,Pittsburgh,US,PA,Indiana,15.1,"Pittsburgh, PA"
221,Isaiah Jackson,Pontiac,US,MI,Indiana,20.5,"Pontiac, MI"
222,Jalen Smith,Portsmouth,US,VA,Indiana,18.4,"Portsmouth, VA"
223,Terry Taylor,Bowling Green,US,KY,Indiana,19.0,"Bowling Green, KY"
224,Myles Turner,Bedford,US,TX,Indiana,17.4,"Bedford, TX"
225,Tyrese Maxey,Dallas,US,TX,Philadelphia,16.2,"Dallas, TX"
226,James Harden,Los Angeles,US,CA,Philadelphia,20.9,"Los Angeles, CA"
227,Myles Powell,Trenton,US,NJ,Philadelphia,0.2,"Trenton, NJ"
228,Isaiah Joe,Fort Smith,US,AR,Philadelphia,7.7,"Fort Smith, AR"
229,Paul Millsap,Monroe,US,LA,Philadelphia,10.8,"Monroe, LA"
