,Player,From,To,Colleges,HTML Reference,Date,City,Country,State
222,Dzanan Musa,2019.0,2020.0,,/players/m/musadz01.html,"May 8, 1999",Bihac,BA,
223,Martin Muursepp,1997.0,1998.0,,/players/m/muursma01.html,"Sep 26, 1974",Tallinn,EE,
224,Boniface N'Dong,2006.0,2006.0,,/players/n/ndongbo01.html,"Mar 9, 1977",Dakar,SN,
225,Bostjan Nachbar,2003.0,2008.0,,/players/n/nachbbo01.html,"Jul 3, 1980",Slovenj Gradec,SI,
226,Juan Carlos Navarro,2008.0,2008.0,,/players/n/navarju01.html,"Jun 13, 1980",Sant Feliu de Llobregat,ES,
227,Nemanja Nedovic,2014.0,2014.0,,/players/n/nedovne01.html,"Jun 16, 1991",Nova Varos,RS,
228,Rasho Nesterovic,1999.0,2010.0,,/players/n/nestera01.html,"May 30, 1976",Ljubljana,SI,
229,Raul Neto,2016.0,2023.0,,/players/n/netora01.html,"May 19, 1992",Belo Horizonte,BR,
230,Daishen Nix,2022.0,2023.0,,/players/n/nixda01.html,"Feb 13, 2002",Anchorage,US,AK
231,Andres Nocioni,2005.0,2012.0,,/players/n/nocioan01.html,"Nov 30, 1979",Santa Fe,AR,
232,Lucas Nogueira,2015.0,2018.0,,/players/n/noguelu01.html,"Jul 26, 1992",Sao Goncalo,BR,
233,Dirk Nowitzki,1999.0,2019.0,,/players/n/nowitdi01.html,"Jun 19, 1978",Wurzburg,DE,
234,Frank Ntilikina,2018.0,2022.0,,/players/n/ntilila01.html,"Jul 28, 1998",Ixelles,BE,
235,Jusuf Nurkic,2015.0,2023.0,,/players/n/nurkiju01.html,"Aug 23, 1994",Tuzla,BA,
236,Jermaine O'Neal,1997.0,2014.0,,/players/o/onealje01.html,"Oct 13, 1978",Columbia,US,SC
237,Fabricio Oberto,2006.0,2011.0,,/players/o/obertfa01.html,"Mar 21, 1975",Las Varillas,AR,
238,Tim Ohlbrecht,2013.0,2013.0,,/players/o/ohlbrti01.html,"Aug 30, 1988",Wuppertal,DE,
239,Elie Okobo,2019.0,2020.0,,/players/o/okoboel01.html,"Oct 23, 1997",Bordeaux,FR,
240,Mehmet Okur,2003.0,2012.0,,/players/o/okurme01.html,"May 26, 1979",Yalova,TR,
241,Cedi Osman,2018.0,2023.0,,/players/o/osmande01.html,"Apr 8, 1995",Ohrid,MK,
242,Travis Outlaw,2004.0,2014.0,,/players/o/outlatr01.html,"Sep 18, 1984",Starkville,US,MS
243,Olumide Oyedeji,2001.0,2003.0,,/players/o/oyedeol01.html,"May 11, 1981",Ibadan,NG,
244,Zaza Pachulia,2004.0,2019.0,,/players/p/pachuza01.html,"Feb 10, 1984",Tbilisi,GE,
245,Georgios Papagiannis,2017.0,2018.0,,/players/p/papagge01.html,"Jul 3, 1997",Amarousio,GR,
246,Kostas Papanikolaou,2015.0,2016.0,,/players/p/papanko01.html,"Jul 31, 1990",Trikala,GR,
247,Tony Parker,2002.0,2019.0,,/players/p/parketo01.html,"May 17, 1982",Bruges,BE,
248,Anzejs Pasecniks,2020.0,2021.0,,/players/p/pasecan01.html,"Dec 20, 1995",Riga,LV,
249,Zarko Paspalj,1990.0,1990.0,,/players/p/paspaza01.html,"Mar 27, 1966",Pljevlja,ME,
250,Sasha Pavlovic,2004.0,2013.0,,/players/p/pavloal01.html,"Nov 15, 1983",Bar,ME,
